,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude,crimeCommitted
651,2790,23-16750,2023-10-03 18:01:00+00:00,2023-10-04 16:13:14+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405,2140
636,2775,23-16864,2023-10-03 19:00:00+00:00,2023-10-06 16:06:31+00:00,NEW WESTMINSTER,BC,V3L 3M8,400 Block BUCHANAN AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2279574,-122.896292,2141
644,2783,23-16753,2023-10-03 19:06:00+00:00,2023-10-05 16:26:59+00:00,NEW WESTMINSTER,BC,V3L,300 Block KNOX ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2284848,-122.893859,2142
646,2785,23-16755,2023-10-03 19:09:00+00:00,2023-10-05 16:26:59+00:00,NEW WESTMINSTER,BC,V3L,1 Block ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2057179,-122.910956,2143
640,2779,23-16782,2023-10-04 00:38:00+00:00,2023-10-05 16:26:59+00:00,NEW WESTMINSTER,BC,V3M 3S7,800 Block 8TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2140238,-122.927619,2144
641,2780,23-16790,2023-10-04 01:28:00+00:00,2023-10-05 16:26:59+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2225852,-122.914627,2145
642,2781,23-16796,2023-10-04 04:48:00+00:00,2023-10-05 16:26:59+00:00,NEW WESTMINSTER,BC,V3L 3V2,500 Block KELLY ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.23172539999999,-122.8911505,2146
639,2778,23-16805,2023-10-04 08:44:00+00:00,2023-10-05 16:26:59+00:00,NEW WESTMINSTER,BC,V3L 3A9,400 Block 6TH ST,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.2102315,-122.916645,2147
645,2784,23-16813,2023-10-04 10:58:00+00:00,2023-10-05 16:26:59+00:00,NEW WESTMINSTER,BC,V3M 6X3,300 Block GIFFORD ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.18351310000001,-122.9513715,2148
637,2776,23-16850,2023-10-04 16:00:00+00:00,2023-10-06 16:06:31+00:00,NEW WESTMINSTER,BC,V3L 1B1,500 Block COLUMBIA ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.203895,-122.906557,2149
643,2782,23-16820,2023-10-04 16:30:00+00:00,2023-10-05 16:26:59+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.190715,-122.9449051,2150
505,2643,23-18152,2023-10-05 00:30:00+00:00,2023-10-28 16:52:42+00:00,NEW WESTMINSTER,BC,V3M,200 Block 14TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2030532,-122.9299531,2151
633,2772,23-16842,2023-10-05 00:31:00+00:00,2023-10-06 16:06:30+00:00,NEW WESTMINSTER,BC,V3M,K DE K CRT,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.1986743,-122.9157132,2152
638,2777,23-16847,2023-10-05 02:35:00+00:00,2023-10-06 16:06:30+00:00,NEW WESTMINSTER,BC,V3M 4G9,1 Block ST & AUCKLAND ST,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH,49.2018233,-122.9203036,2153
635,2774,23-16871,2023-10-05 16:49:00+00:00,2023-10-06 16:06:31+00:00,NEW WESTMINSTER,BC,V3M 1A6,800 Block AGNES ST,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH,49.2026043,-122.9137488,2154
634,2773,23-16882,2023-10-05 19:02:00+00:00,2023-10-06 16:06:30+00:00,NEW WESTMINSTER,BC,V3M,200 Block 14TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2030532,-122.9299531,2155
629,2768,23-16902,2023-10-06 00:14:00+00:00,2023-10-07 16:45:37+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,2156
630,2769,23-16904,2023-10-06 00:43:00+00:00,2023-10-07 16:45:37+00:00,NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2028997,-122.9077891,2157
623,2762,23-16915,2023-10-06 02:34:00+00:00,2023-10-09 17:01:26+00:00,NEW WESTMINSTER,BC,V3L 3B4,500 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.21176699999999,-122.9188433,2158
527,2665,23-16922,2023-10-06 04:50:00+00:00,2023-10-24 16:32:58+00:00,NEW WESTMINSTER,BC,V3L,500 Block ROYAL AVE,FRAUD-IDENTITY,Property Crime,FRAUD-IDENTITY,49.2062641,-122.9090374,2159
631,2770,23-16923,2023-10-06 05:08:00+00:00,2023-10-07 16:45:37+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,2160
606,2745,23-16933,2023-10-06 14:02:00+00:00,2023-10-12 16:10:38+00:00,NEW WESTMINSTER,BC,V3M 4K3,900 Block 12TH ST,ROBBERY-OTHER,Robbery,ROBBERY-OTHER,49.2121498,-122.936736,2161
603,2742,23-16936,2023-10-06 15:42:00+00:00,2023-10-12 16:10:38+00:00,NEW WESTMINSTER,BC,V3M 5B1,200 Block FURNESS ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.1925679,-122.9254706,2162
628,2767,23-16945,2023-10-06 17:56:00+00:00,2023-10-07 16:45:37+00:00,NEW WESTMINSTER,BC,V3L 2M7,700 Block 2ND ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.21780159999999,-122.9162266,2163
632,2771,23-16947,2023-10-06 18:46:00+00:00,2023-10-07 16:45:37+00:00,NEW WESTMINSTER,BC,V3L 0E3,200 Block NELSONS CRT,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000,49.2233599,-122.8921996,2164
627,2766,23-16952,2023-10-06 20:26:00+00:00,2023-10-08 16:26:08+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.190715,-122.9449051,2165
617,2756,23-80329,2023-10-06 20:30:00+00:00,2023-10-10 16:47:11+00:00,NEW WESTMINSTER,BC,V3L 1S5,200 Block REGINA ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2158406,-122.9128103,2166
624,2763,23-16954,2023-10-06 20:35:00+00:00,2023-10-08 16:26:08+00:00,NEW WESTMINSTER,BC,V3M,1100 Block TANAKA CRT,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.1870082,-122.9514463,2167
626,2765,23-16984,2023-10-07 03:38:00+00:00,2023-10-08 16:26:08+00:00,NEW WESTMINSTER,BC,V3L,CLUTE ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2231511,-122.9144329,2168
625,2764,23-16986,2023-10-07 04:19:00+00:00,2023-10-08 16:26:08+00:00,NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2028997,-122.9077891,2169
500,2638,23-80352,2023-10-07 08:40:00+00:00,2023-10-28 16:52:42+00:00,NEW WESTMINSTER,BC,V3L,JACK MAHONY PL,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2203783,-122.9110881,2170
615,2754,23-17015,2023-10-07 19:18:00+00:00,2023-10-10 16:47:11+00:00,NEW WESTMINSTER,BC,V3L 1P5,400 Block 1ST ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2157997,-122.9100093,2171
619,2758,23-17026,2023-10-07 22:32:00+00:00,2023-10-09 17:01:26+00:00,NEW WESTMINSTER,BC,V3K 0M4,900 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.20060340000001,-122.9151316,2172
622,2761,23-17037,2023-10-08 01:39:00+00:00,2023-10-09 17:01:26+00:00,NEW WESTMINSTER,BC,V3L 1G2,400 Block AGNES ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2060118,-122.9073511,2173
620,2759,23-17039,2023-10-08 02:41:00+00:00,2023-10-09 17:01:26+00:00,NEW WESTMINSTER,BC,V3M 2C7,1500 Block 6TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2047922,-122.9353425,2174
621,2760,23-17068,2023-10-08 14:35:00+00:00,2023-10-09 17:01:26+00:00,NEW WESTMINSTER,BC,V3L 5L6,400 Block GINGER DR,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2180608,-122.9055998,2175
618,2757,23-17097,2023-10-09 02:53:00+00:00,2023-10-10 16:47:11+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,2176
616,2755,23-17124,2023-10-09 03:30:00+00:00,2023-10-10 16:47:11+00:00,NEW WESTMINSTER,BC,V3M 5M3,200 Block JARDINE ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.1827713,-122.9468297,2177
614,2753,23-17104,2023-10-09 05:13:00+00:00,2023-10-10 16:47:11+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,2178
613,2752,23-17131,2023-10-09 09:00:00+00:00,2023-10-11 16:19:53+00:00,NEW WESTMINSTER,BC,V3L,300 Block CEDAR ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.23006849999999,-122.8931791,2179
610,2749,23-17119,2023-10-09 17:49:00+00:00,2023-10-11 16:19:53+00:00,NEW WESTMINSTER,BC,V3L,JACK MAHONY PL,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2203783,-122.9110881,2180
608,2747,23-17147,2023-10-10 06:49:00+00:00,2023-10-11 16:19:53+00:00,NEW WESTMINSTER,BC,V3L 3C5,700 Block 6TH ST,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.21444630000001,-122.9224269,2181
593,2732,23-80331,2023-10-10 07:00:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3L,300 Block KNOX ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2284848,-122.893859,2182
611,2750,23-17154,2023-10-10 11:59:00+00:00,2023-10-11 16:19:53+00:00,NEW WESTMINSTER,BC,V3L,300 Block KNOX ST,THEFT OF TRUCK OVER $5000,Theft of Vehicle,THEFT OF TRUCK OVER $5000,49.2284848,-122.893859,2183
612,2751,23-17164,2023-10-10 15:35:00+00:00,2023-10-11 16:19:53+00:00,NEW WESTMINSTER,BC,V3M 3L1,400 Block 7TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2094827,-122.9187456,2184
609,2748,23-17168,2023-10-10 16:57:00+00:00,2023-10-11 16:19:53+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2000823,-122.9174235,2185
597,2736,23-17199,2023-10-10 23:12:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2028997,-122.9077891,2186
601,2740,23-17205,2023-10-11 00:07:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3L 3B4,500 Block 6TH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.21176699999999,-122.9188433,2187
602,2741,23-17224,2023-10-11 02:30:00+00:00,2023-10-12 16:10:39+00:00,NEW WESTMINSTER,BC,V3M 1L6,ASH ST & GLOUCESTER ST,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000,49.20478319999999,-122.9149029,2188
607,2746,23-17213,2023-10-11 05:06:00+00:00,2023-10-12 16:10:38+00:00,NEW WESTMINSTER,BC,V3M,1100 Block TANAKA CRT,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.1870082,-122.9514463,2189
604,2743,23-17234,2023-10-11 17:43:00+00:00,2023-10-12 16:10:38+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH,49.2057179,-122.910956,2190
605,2744,23-17240,2023-10-11 19:31:00+00:00,2023-10-12 16:10:38+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,MISCHIEF TO DATA/SUMMARY,Other,MISCHIEF TO DATA/SUMMARY,49.2225852,-122.914627,2191
596,2735,23-17252,2023-10-11 22:29:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3M 1A9,700 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2020176,-122.9096046,2192
588,2727,23-17315,2023-10-11 23:00:00+00:00,2023-10-14 16:07:58+00:00,NEW WESTMINSTER,BC,V3M 6G2,900 Block QUAYSIDE DR,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.1995085,-122.9128078,2193
600,2739,23-17258,2023-10-11 23:56:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3M 1A6,800 Block AGNES ST,FRAUD-OTHER,Property Crime,FRAUD-OTHER,49.2026043,-122.9137488,2194
598,2737,23-17261,2023-10-12 00:45:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3M 3S7,800 Block 8TH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2140238,-122.927619,2195
594,2733,23-17278,2023-10-12 04:10:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,2196
591,2730,23-17286,2023-10-12 08:46:00+00:00,2023-10-14 16:07:58+00:00,NEW WESTMINSTER,BC,V3L,CLUTE ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2231511,-122.9144329,2197
595,2734,23-17290,2023-10-12 12:54:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3L 1X8,100 Block 8TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2200813,-122.9157602,2198
599,2738,23-17297,2023-10-12 15:22:00+00:00,2023-10-13 16:44:44+00:00,NEW WESTMINSTER,BC,V3L 1V3,500 Block 6TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.21349499999999,-122.9193089,2199
574,2712,23-80332,2023-10-12 23:10:00+00:00,2023-10-17 16:27:46+00:00,NEW WESTMINSTER,BC,V3L 0G7,200 Block NELSONS CRES,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2233599,-122.8921996,2200
590,2729,23-17363,2023-10-12 23:30:00+00:00,2023-10-14 16:07:58+00:00,NEW WESTMINSTER,BC,V3M,800 Block ROYAL AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.203668,-122.9145708,2201
589,2728,23-17320,2023-10-13 02:06:00+00:00,2023-10-14 16:07:58+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,MISCHIEF OVER $5000,Property Crime,MISCHIEF OVER $5000,49.2250787,-122.8929076,2202
592,2731,23-17321,2023-10-13 02:15:00+00:00,2023-10-14 16:07:58+00:00,NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2124082,-122.921433,2203
557,2695,23-17358,2023-10-13 17:51:00+00:00,2023-10-19 16:13:13+00:00,NEW WESTMINSTER,BC,V3L 3W7,400 Block E COLUMBIA ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2277467,-122.8926041,2204
585,2723,23-17388,2023-10-14 00:32:00+00:00,2023-10-15 16:49:45+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2000823,-122.9174235,2205
578,2716,23-17484,2023-10-14 05:00:00+00:00,2023-10-16 16:43:20+00:00,NEW WESTMINSTER,BC,V3M,1200 Block 5TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2062625,-122.9287938,2206
587,2726,23-17407,2023-10-14 08:55:00+00:00,2023-10-15 16:49:45+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2057179,-122.910956,2207
584,2722,23-17409,2023-10-14 10:34:00+00:00,2023-10-15 16:49:45+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.190715,-122.9449051,2208
581,2719,23-17412,2023-10-14 15:03:00+00:00,2023-10-16 16:43:21+00:00,NEW WESTMINSTER,BC,V3L 4A9,500 Block AMESS ST,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000,49.232342,-122.8970861,2209
586,2725,23-17421,2023-10-14 18:55:00+00:00,2023-10-15 16:49:45+00:00,NEW WESTMINSTER,BC,V3L 1V3,500 Block 6TH AVE,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.21349499999999,-122.9193089,2210
579,2717,23-17431,2023-10-14 23:16:00+00:00,2023-10-16 16:43:21+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,2211
580,2718,23-17464,2023-10-15 02:30:00+00:00,2023-10-16 16:43:21+00:00,NEW WESTMINSTER,BC,V3M 6X3,300 Block GIFFORD ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.18351310000001,-122.9513715,2212
583,2721,23-17452,2023-10-15 05:08:00+00:00,2023-10-16 16:43:21+00:00,NEW WESTMINSTER,BC,V3L 3W7,400 Block E COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2277467,-122.8926041,2213
577,2715,23-17516,2023-10-15 11:25:00+00:00,2023-10-17 16:27:46+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.2225852,-122.914627,2214
582,2720,23-17474,2023-10-15 15:13:00+00:00,2023-10-16 16:43:21+00:00,NEW WESTMINSTER,BC,V3M,600 Block BELMONT ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2121898,-122.9199328,2215
573,2711,23-80334,2023-10-16 08:08:00+00:00,2023-10-17 16:27:46+00:00,NEW WESTMINSTER,BC,V3M 6G2,1000 Block QUAYSIDE DR,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.19977249999999,-122.9135973,2216
575,2713,23-17513,2023-10-16 13:46:00+00:00,2023-10-17 16:27:46+00:00,NEW WESTMINSTER,BC,V3M 1L2,200 Block 6TH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2068617,-122.912695,2217
556,2694,23-80336,2023-10-16 15:30:00+00:00,2023-10-19 16:13:13+00:00,NEW WESTMINSTER,BC,V3M 3P7,800 Block QUEENS AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.204576,-122.9169974,2218
576,2714,23-17525,2023-10-16 18:43:00+00:00,2023-10-17 16:27:46+00:00,NEW WESTMINSTER,BC,V3M 1G8,600 Block AGNES ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2045703,-122.9097893,2219
567,2705,23-17529,2023-10-16 20:29:00+00:00,2023-10-18 16:09:59+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2000823,-122.9174235,2220
572,2710,23-17532,2023-10-16 21:37:00+00:00,2023-10-18 16:09:59+00:00,NEW WESTMINSTER,BC,V3L 1A7,300 Block COLUMBIA ST,FRAUD-OTHER,Property Crime,FRAUD-OTHER,49.2051981,-122.9036909,2221
549,2687,23-17535,2023-10-16 22:15:00+00:00,2023-10-20 16:11:44+00:00,NEW WESTMINSTER,BC,V3M,1000 Block TANAKA CRT,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.1870082,-122.9514463,2222
457,2595,23-18562,2023-10-16 22:30:00+00:00,2023-11-04 16:19:14+00:00,NEW WESTMINSTER,BC,V3M 1M4,300 Block 10TH ST,THEFT OF TRUCK OVER $5000,Theft of Vehicle,THEFT OF TRUCK OVER $5000,49.2051643,-122.9212677,2223
569,2707,23-17544,2023-10-17 00:45:00+00:00,2023-10-18 16:09:59+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,2224
560,2698,23-17600,2023-10-17 05:00:00+00:00,2023-10-19 16:13:13+00:00,NEW WESTMINSTER,BC,V3M 3A5,1900 Block DUBLIN ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2052811,-122.9479353,2225
538,2676,23-80340,2023-10-17 05:20:00+00:00,2023-10-21 16:49:42+00:00,NEW WESTMINSTER,BC,.,1 Block AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2057179,-122.910956,2226
558,2696,23-17572,2023-10-17 15:35:00+00:00,2023-10-19 16:13:13+00:00,NEW WESTMINSTER,BC,V3M 3H3,2300 Block 9TH AVE,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000,49.20192470000001,-122.9573769,2227
561,2699,23-17579,2023-10-17 17:39:00+00:00,2023-10-19 16:13:13+00:00,NEW WESTMINSTER,BC,V3M 1K7,700 Block GLOUCESTER ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2052194,-122.9137372,2228
562,2700,23-17581,2023-10-17 18:17:00+00:00,2023-10-19 16:13:13+00:00,NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2124082,-122.921433,2229
570,2708,23-17584,2023-10-17 19:02:00+00:00,2023-10-18 16:09:59+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2000823,-122.9174235,2230
