ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-10624,"06/29/2023, 8:00:00 PM","07/02/2023, 4:11:48 PM",NEW WESTMINSTER,BC,V3L 3J9,300 Block SIMPSON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10509,"06/29/2023, 8:20:00 PM","07/02/2023, 4:11:49 PM",NEW WESTMINSTER,BC,V3L 1A7,300 Block COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10578,"06/30/2023, 7:10:00 PM","07/01/2023, 4:08:56 PM",NEW WESTMINSTER,BC,V3M 1A9,700 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10585,"06/30/2023, 8:41:00 PM","07/01/2023, 4:08:57 PM",NEW WESTMINSTER,BC,V3M,500 Block 14TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10489,"06/29/2023, 5:55:00 PM","07/01/2023, 4:08:57 PM",NEW WESTMINSTER,BC,V3M 5E3,1100 Block EWEN AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10581,"06/30/2023, 8:03:00 PM","07/01/2023, 4:08:56 PM",NEW WESTMINSTER,BC,V3M 1A9,700 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10572,"06/30/2023, 5:54:00 PM","07/01/2023, 4:08:56 PM",NEW WESTMINSTER,BC,V3M 6V4,700 Block CARNARVON ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10512,"06/29/2023, 9:30:00 AM","07/01/2023, 4:08:57 PM",NEW WESTMINSTER,BC,V3M 1L2,200 Block 6TH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER
23-10529,"06/30/2023, 1:30:00 AM","07/01/2023, 4:08:56 PM",NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10532,"06/30/2023, 1:42:00 AM","07/01/2023, 4:08:57 PM",NEW WESTMINSTER,BC,V3M,1100 Block TANAKA CRT,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10516,"06/29/2023, 10:01:00 PM","07/01/2023, 4:08:57 PM",NEW WESTMINSTER,BC,V3M,800 Block 5TH AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10522,"06/29/2023, 11:20:00 PM","07/01/2023, 4:08:56 PM",NEW WESTMINSTER,BC,V3M,1000 Block TANAKA CRT,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-10527,"06/30/2023, 1:23:00 AM","07/01/2023, 4:08:56 PM",NEW WESTMINSTER,BC,V3M 2A7,1800 Block RIVER DR,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10438,"06/28/2023, 10:26:00 PM","06/30/2023, 4:23:26 PM",NEW WESTMINSTER,BC,V3N,1800 Block 10TH AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10352,"06/27/2023, 9:43:00 PM","06/30/2023, 4:23:26 PM",NEW WESTMINSTER,BC,.,1 Block ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10502,"06/27/2023, 7:00:00 AM","06/30/2023, 4:23:26 PM",NEW WESTMINSTER,BC,V3M 1W6,1200 Block CAMERON ST,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000
23-10436,"06/28/2023, 10:14:00 PM","06/30/2023, 4:23:26 PM",NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10343,"06/27/2023, 8:28:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-10400,"06/27/2023, 9:00:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M 3G2,2200 Block LONDON ST,THEFT OF TRUCK UNDER $5000,Theft of Vehicle,THEFT OF TRUCK UNDER $5000
23-10397,"06/28/2023, 6:00:00 AM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M 3G8,2100 Block 9TH AVE,THEFT MOTORCYCLE UNDER $5000,Theft of Vehicle,THEFT MOTORCYCLE UNDER $5000
23-10355,"06/27/2023, 9:55:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-80200,"06/26/2023, 11:45:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3L 1A7,300 Block COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-80203,"06/15/2023, 3:10:00 AM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M 1A6,800 Block AGNES ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-80202,"06/26/2023, 7:00:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3L 3T6,300 Block SHERBROOKE ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10339,"06/27/2023, 7:25:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-10419,"06/28/2023, 4:30:00 AM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M 3S2,600 Block 8TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10407,"06/28/2023, 4:00:00 AM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M 2L7,2100 Block 7TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10337,"06/27/2023, 6:52:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-10327,"06/27/2023, 4:56:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3L 1B8,300 Block CARNARVON ST,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE
23-10349,"06/27/2023, 9:23:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3L 3C8,800 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10365,"06/28/2023, 12:00:00 AM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3L 1A4,200 Block FRONT ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10402,"06/28/2023, 3:15:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3L 1B1,500 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10330,"06/27/2023, 5:38:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,V3M 1A5,600 Block COLUMBIA ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10333,"06/27/2023, 5:50:00 PM","06/29/2023, 4:26:18 PM",NEW WESTMINSTER,BC,.,BRAID ST,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH
23-80198,"06/09/2023, 4:55:00 AM","06/28/2023, 5:01:50 PM",NEW WESTMINSTER,BC,V3M 4K1,800 Block 12TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10302,"06/27/2023, 11:17:00 AM","06/28/2023, 5:01:50 PM",NEW WESTMINSTER,BC,V3L 5P1,400 Block CARNARVON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10305,"06/27/2023, 11:51:00 AM","06/28/2023, 5:01:50 PM",NEW WESTMINSTER,BC,V3M 5T4,1300 Block 3RD AVE,THEFT MOTORCYCLE OVER $5000,Theft of Vehicle,THEFT MOTORCYCLE OVER $5000
23-10316,"06/27/2023, 4:00:00 AM","06/28/2023, 5:01:50 PM",NEW WESTMINSTER,BC,V3M 4K3,900 Block 12TH ST,THEFT MOTORCYCLE UNDER $5000,Theft of Vehicle,THEFT MOTORCYCLE UNDER $5000
23-10291,"06/27/2023, 5:33:00 AM","06/28/2023, 5:01:50 PM",NEW WESTMINSTER,BC,V3L,300 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-10220,"06/26/2023, 3:23:00 AM","06/28/2023, 5:01:50 PM",NEW WESTMINSTER,BC,V3M 6H1,1100 Block QUAYSIDE DR,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10209,"06/25/2023, 11:27:00 PM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M 5L1,200 Block LAWRENCE ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10247,"06/26/2023, 7:08:00 PM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,FRAUD-OTHER,Property Crime,FRAUD-OTHER
23-10201,"06/25/2023, 9:26:00 PM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M,NEW WESTMINSTER STN & COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10185,"06/25/2023, 4:36:00 PM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M 2W5,1500 Block EDINBURGH ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-9995,"06/22/2023, 1:20:00 AM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,ARSON-PROPERTY,Other,ARSON-PROPERTY
23-10218,"06/26/2023, 2:31:00 AM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-10227,"06/26/2023, 6:10:00 AM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M 5V2,800 Block COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10217,"06/26/2023, 1:52:00 AM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M,BEGBIE ST,ROBBERY-OTHER,Robbery,ROBBERY-OTHER
23-10250,"06/24/2023, 6:36:00 AM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,.,BRAID ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10240,"06/24/2023, 4:00:00 AM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3L,MERIVALE ST,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE
23-10226,"06/26/2023, 12:30:00 AM","06/27/2023, 4:41:13 PM",NEW WESTMINSTER,BC,V3L,300 Block 6TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-80196,"06/24/2023, 6:00:00 AM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M 1Y2,500 Block 10TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-80197,"06/22/2023, 4:05:00 PM","06/27/2023, 4:41:11 PM",NEW WESTMINSTER,BC,V3M 3P7,800 Block QUEENS AVE,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-10156,"06/25/2023, 3:50:00 AM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3M,1 Block ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10062,"06/23/2023, 7:35:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3M 2P6,2100 Block HAMILTON ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-10133,"06/24/2023, 9:22:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3M 1A5,600 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10191,"06/25/2023, 5:54:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3L 5L1,400 Block GINGER DR,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10127,"06/24/2023, 6:50:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3M 3X8,1000 Block QUEENS AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9024,"06/07/2023, 4:40:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-8953,"06/06/2023, 2:31:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3K 0M4,900 Block CARNARVON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-8952,"06/06/2023, 2:23:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3M 1A6,800 Block AGNES ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10121,"06/24/2023, 4:48:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3M,800 Block 5TH AVE,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER
23-10125,"06/24/2023, 6:17:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3M 1L8,200 Block 8TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10132,"06/24/2023, 9:00:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3L 1B2,999900 Block UNKNOWN,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9689,"06/17/2023, 11:37:00 PM","06/26/2023, 4:36:31 PM",NEW WESTMINSTER,BC,V3M 3S7,800 Block 8TH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER
23-9987,"06/22/2023, 6:14:00 PM","06/25/2023, 4:12:46 PM",NEW WESTMINSTER,BC,V3M 6T9,700 Block PRINCESS ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-10072,"06/23/2023, 10:01:00 PM","06/25/2023, 4:12:46 PM",NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-10064,"06/23/2023, 8:25:00 PM","06/25/2023, 4:12:47 PM",NEW WESTMINSTER,BC,V3L,E 6TH AVE,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH
23-10108,"06/24/2023, 8:25:00 AM","06/25/2023, 4:12:46 PM",NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10057,"06/23/2023, 6:33:00 PM","06/24/2023, 4:08:33 PM",NEW WESTMINSTER,BC,V3L 5L6,400 Block GINGER DR,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-9990,"06/01/2023, 7:00:00 PM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3L 0E3,200 Block E COLUMBIA ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000
23-80194,"06/07/2023, 8:00:00 AM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3M 5Z5,700 Block ROYAL AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10000,"06/22/2023, 9:45:00 PM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3L 3B4,500 Block 6TH ST,FRAUD-OTHER,Property Crime,FRAUD-OTHER
23-10056,"06/23/2023, 6:16:00 PM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3L,300 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-10001,"06/22/2023, 9:51:00 PM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-10050,"06/23/2023, 4:52:00 PM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3M 3N1,1 Block AVE & ASH ST,ROBBERY W/FIREARM,Robbery,ROBBERY W/FIREARM
23-10044,"06/23/2023, 2:52:00 PM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3L 5M4,COLUMBIA ST & 4TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10046,"06/21/2023, 6:00:00 AM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3M,700 Block PRESCOTT ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10014,"06/23/2023, 1:10:00 AM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3M 1T1,400 Block 9TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10010,"06/23/2023, 12:53:00 AM","06/24/2023, 4:08:32 PM",NEW WESTMINSTER,BC,V3M,1100 Block TANAKA CRT,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-9916,"06/21/2023, 7:06:00 PM","06/23/2023, 4:54:17 PM",NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-9880,"06/21/2023, 1:15:00 AM","06/23/2023, 4:54:17 PM",NEW WESTMINSTER,BC,V3M 3E9,2100 Block LONDON ST,FRAUD-OTHER,Property Crime,FRAUD-OTHER
23-9940,"06/22/2023, 1:07:00 AM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-9980,"06/22/2023, 5:00:00 PM","06/23/2023, 4:54:17 PM",NEW WESTMINSTER,BC,V3M 2R6,1100 Block 8TH AVE,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000
23-9982,"06/22/2023, 5:33:00 PM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3M,500 Block FRONT ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9953,"06/22/2023, 3:48:00 AM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3M 4H1,100 Block 12TH ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-9957,"06/22/2023, 5:01:00 AM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3M,ALEXANDER ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-9907,"06/21/2023, 3:57:00 PM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3M 3X8,1000 Block QUEENS AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9938,"06/22/2023, 12:12:00 AM","06/23/2023, 4:54:17 PM",NEW WESTMINSTER,BC,.,1 Block ST & 10TH AVE,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH
23-9922,"06/21/2023, 8:01:00 PM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3M 1A9,700 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-9975,"06/20/2023, 5:00:00 PM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3L,600 Block CLARKSON ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-9974,"06/20/2023, 5:00:00 AM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3L,600 Block CLARKSON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9973,"06/02/2023, 4:00:00 AM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3L,600 Block CLARKSON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9951,"06/22/2023, 3:23:00 AM","06/23/2023, 4:54:16 PM",NEW WESTMINSTER,BC,V3M 4J4,1 Block ST & NANAIMO ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-9890,"06/21/2023, 5:15:00 AM","06/22/2023, 4:18:35 PM",NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,ROBBERY-OTHER,Robbery,ROBBERY-OTHER
23-9854,"06/20/2023, 5:05:00 AM","06/22/2023, 4:18:35 PM",NEW WESTMINSTER,BC,V3M 6X3,300 Block GIFFORD ST,FRAUD-IDENTITY,Property Crime,FRAUD-IDENTITY
23-80191,"06/13/2023, 11:15:00 PM","06/22/2023, 4:18:35 PM",NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-80189,"06/16/2023, 7:00:00 AM","06/22/2023, 4:18:35 PM",NEW WESTMINSTER,BC,V3M 3E3,1800 Block LONDON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-80187,"06/16/2023, 9:15:00 AM","06/22/2023, 4:18:35 PM",NEW WESTMINSTER,BC,V3M 2P3,1800 Block HAMILTON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-80193,"06/20/2023, 8:45:00 AM","06/22/2023, 4:18:35 PM",NEW WESTMINSTER,BC,V3L,600 Block CLARKSON ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-9859,"06/20/2023, 6:34:00 PM","06/21/2023, 4:41:15 PM",NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9853,"06/20/2023, 5:52:00 PM","06/21/2023, 4:41:15 PM",NEW WESTMINSTER,BC,V3M 4C5,100 Block 11TH ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000
23-9852,"06/20/2023, 5:30:00 AM","06/21/2023, 4:41:16 PM",NEW WESTMINSTER,BC,V3L 2B8,OVENS AVE & COLBORNE ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9829,"06/20/2023, 2:13:00 AM","06/21/2023, 4:41:16 PM",NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-9608,"06/16/2023, 7:12:00 PM","06/21/2023, 4:41:16 PM",NEW WESTMINSTER,BC,V3M 5V2,800 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-9804,"06/19/2023, 8:41:00 PM","06/21/2023, 4:41:16 PM",NEW WESTMINSTER,BC,V3L,600 Block CLARKSON ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
