,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude,crimeCommitted
692,1350,23-5238,2023-04-04 15:08:00+00:00,2023-04-05 16:51:16+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000,49.2057179,-122.910956,685
682,1340,23-5254,2023-04-04 21:04:00+00:00,2023-04-06 16:08:08+00:00,NEW WESTMINSTER,BC,V3M 2B8,1000 Block 6TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.20939560000001,-122.9268794,686
681,1339,23-5268,2023-04-05 00:22:00+00:00,2023-04-07 16:11:07+00:00,NEW WESTMINSTER,BC,V3L,300 Block DEVOY ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.225473,-122.9009647,687
683,1341,23-5281,2023-04-05 05:07:00+00:00,2023-04-06 16:08:08+00:00,NEW WESTMINSTER,BC,V3M 1M1,QUEENS AVE & 9TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2042549,-122.9180718,688
685,1343,23-5287,2023-04-05 06:13:00+00:00,2023-04-06 16:08:08+00:00,NEW WESTMINSTER,BC,V3L,200 Block ROSS DR,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.215041,-122.9019005,689
684,1342,23-5298,2023-04-05 15:06:00+00:00,2023-04-06 16:08:08+00:00,NEW WESTMINSTER,BC,V3L 5H8,100 Block 6TH ST,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.2052427,-122.9103696,690
677,1335,23-5301,2023-04-05 16:20:00+00:00,2023-04-07 16:11:06+00:00,NEW WESTMINSTER,BC,V3M,BEGBIE ST,THEFT-OTHER OVER $5000,Theft,THEFT-OTHER OVER $5000,49.2019513,-122.9105963,691
671,1329,23-5424,2023-04-05 17:00:00+00:00,2023-04-08 16:58:56+00:00,NEW WESTMINSTER,BC,V3M 4C5,100 Block 11TH ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000,49.20121109999999,-122.9208636,692
676,1334,23-5315,2023-04-05 20:21:00+00:00,2023-04-07 16:11:06+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.200803,-122.9134438,693
675,1333,23-5317,2023-04-05 21:33:00+00:00,2023-04-07 16:11:06+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.190715,-122.9449051,694
622,1280,23-5939,2023-04-05 23:30:00+00:00,2023-04-19 17:00:14+00:00,NEW WESTMINSTER,BC,V3M 6Y2,200 Block 7TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.20631900000001,-122.914237,695
679,1337,23-5324,2023-04-05 23:37:00+00:00,2023-04-07 16:11:06+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,696
673,1331,23-5334,2023-04-06 02:30:00+00:00,2023-04-07 16:11:06+00:00,NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2028997,-122.9077891,697
674,1332,23-5338,2023-04-06 02:57:00+00:00,2023-04-07 16:11:06+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,698
680,1338,23-5341,2023-04-06 03:55:00+00:00,2023-04-07 16:11:06+00:00,NEW WESTMINSTER,BC,V3M 6Z6,800 Block QUAYSIDE DR,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200145,-122.911488,699
678,1336,23-5353,2023-04-06 14:28:00+00:00,2023-04-07 16:11:06+00:00,NEW WESTMINSTER,BC,.,BRAID ST,ROBBERY-OTHER,Robbery,ROBBERY-OTHER,49.2315783,-122.8862979,700
656,1314,23-80116,2023-04-06 15:20:00+00:00,2023-04-12 16:09:51+00:00,NEW WESTMINSTER,BC,V3L 4E5,100 Block CARROLL ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2209315,-122.9006509,701
672,1330,23-5382,2023-04-06 23:39:00+00:00,2023-04-08 16:58:55+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.200803,-122.9134438,702
664,1322,23-5417,2023-04-07 16:10:00+00:00,2023-04-09 16:54:08+00:00,NEW WESTMINSTER,BC,V3L,COLUMBIA ST,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000,49.2038567,-122.9066281,703
667,1325,23-5429,2023-04-07 19:29:00+00:00,2023-04-09 16:54:08+00:00,NEW WESTMINSTER,BC,V3L,500 Block MCDONALD ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.23209749999999,-122.8950302,704
669,1327,23-5450,2023-04-08 03:00:00+00:00,2023-04-09 16:54:08+00:00,NEW WESTMINSTER,BC,V3L 3V7,BRUNETTE AVE & E COLUMBIA ST,ARSON-PROPERTY,Other,ARSON-PROPERTY,49.2219687,-122.8930129,705
661,1319,23-5455,2023-04-08 06:14:00+00:00,2023-04-10 16:12:59+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405,706
668,1326,23-5457,2023-04-08 06:25:00+00:00,2023-04-09 16:54:08+00:00,NEW WESTMINSTER,BC,V3L 4K4,800 Block SCOTT ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2270452,-122.9040168,707
597,1255,23-5462,2023-04-08 07:53:00+00:00,2023-04-22 16:07:18+00:00,NEW WESTMINSTER,BC,V3L,1 Block ST,ARSON-PROPERTY,Other,ARSON-PROPERTY,49.2057179,-122.910956,708
615,1273,23-6056,2023-04-08 19:00:00+00:00,2023-04-20 16:42:30+00:00,NEW WESTMINSTER,BC,V3L 3C5,700 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.21444630000001,-122.9224269,709
665,1323,23-5469,2023-04-08 19:10:00+00:00,2023-04-09 16:54:08+00:00,NEW WESTMINSTER,BC,V3M 6V4,700 Block CARNARVON ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2030424,-122.9108517,710
662,1320,23-5485,2023-04-09 00:33:00+00:00,2023-04-10 16:12:59+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2250787,-122.8929076,711
660,1318,23-5559,2023-04-09 01:00:00+00:00,2023-04-11 16:29:37+00:00,NEW WESTMINSTER,BC,V3M,1200 Block 5TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2062625,-122.9287938,712
663,1321,23-5492,2023-04-09 03:03:00+00:00,2023-04-10 16:12:59+00:00,NEW WESTMINSTER,BC,V3M,1200 Block 5TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2062625,-122.9287938,713
658,1316,23-5553,2023-04-09 17:00:00+00:00,2023-04-11 16:29:37+00:00,NEW WESTMINSTER,BC,V3L 4M8,800 Block CHERRY ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2285428,-122.901488,714
657,1315,23-80115,2023-04-09 22:50:00+00:00,2023-04-12 16:09:51+00:00,NEW WESTMINSTER,BC,V3M 4E7,400 Block 11TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.20581689999999,-122.9264948,715
659,1317,23-5530,2023-04-10 00:00:00+00:00,2023-04-11 16:29:37+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,716
654,1312,23-5582,2023-04-11 03:43:00+00:00,2023-04-12 16:09:51+00:00,NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2028997,-122.9077891,717
655,1313,23-5599,2023-04-11 15:31:00+00:00,2023-04-12 16:09:51+00:00,NEW WESTMINSTER,BC,V3L 0E3,200 Block E COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2237892,-122.8925272,718
649,1307,23-5619,2023-04-11 22:09:00+00:00,2023-04-13 16:34:21+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.190715,-122.9449051,719
652,1310,23-5621,2023-04-11 22:25:00+00:00,2023-04-13 16:34:21+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,720
650,1308,23-5625,2023-04-12 00:02:00+00:00,2023-04-13 16:34:21+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2250787,-122.8929076,721
651,1309,23-5638,2023-04-12 04:03:00+00:00,2023-04-13 16:34:21+00:00,NEW WESTMINSTER,BC,V3M 6Z6,800 Block QUAYSIDE DR,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200145,-122.911488,722
653,1311,23-5653,2023-04-12 17:25:00+00:00,2023-04-13 16:34:21+00:00,NEW WESTMINSTER,BC,.,BRAID ST,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH,49.2315783,-122.8862979,723
648,1306,23-5652,2023-04-12 17:25:00+00:00,2023-04-13 16:34:21+00:00,NEW WESTMINSTER,BC,V3L 3Z4,300 Block BUCHANAN AVE,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.226947,-122.8960748,724
641,1299,23-5654,2023-04-12 18:06:00+00:00,2023-04-14 16:22:37+00:00,NEW WESTMINSTER,BC,V3M 6Z6,800 Block QUAYSIDE DR,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200145,-122.911488,725
635,1293,23-80118,2023-04-12 18:10:00+00:00,2023-04-15 16:33:19+00:00,NEW WESTMINSTER,BC,V3L 3X5,MAJOR ST & E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.229715,-122.8927526,726
646,1304,23-5658,2023-04-12 18:53:00+00:00,2023-04-14 16:22:37+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,727
621,1279,23-5995,2023-04-12 19:00:00+00:00,2023-04-19 17:00:14+00:00,NEW WESTMINSTER,BC,V3M,700 Block 5TH AVE,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000,49.2105056,-122.9209064,728
647,1305,23-5715,2023-04-12 22:00:00+00:00,2023-04-14 16:22:37+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.200803,-122.9134438,729
643,1301,23-5670,2023-04-12 23:38:00+00:00,2023-04-14 16:22:37+00:00,NEW WESTMINSTER,BC,V3L 0E3,200 Block E COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2237892,-122.8925272,730
644,1302,23-5675,2023-04-13 02:48:00+00:00,2023-04-14 16:22:37+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,731
642,1300,23-5694,2023-04-13 12:01:00+00:00,2023-04-14 16:22:37+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2250787,-122.8929076,732
645,1303,23-5705,2023-04-13 17:00:00+00:00,2023-04-14 16:22:37+00:00,NEW WESTMINSTER,BC,V3L 2H4,700 Block 1ST ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2191975,-122.9136621,733
604,1262,23-5713,2023-04-13 20:09:00+00:00,2023-04-21 16:21:04+00:00,NEW WESTMINSTER,BC,V3M 1X4,999900 Block UNKNOWN,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2057179,-122.910956,734
638,1296,23-5714,2023-04-13 20:46:00+00:00,2023-04-15 16:33:18+00:00,NEW WESTMINSTER,BC,V3M 5N5,200 Block HUME ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.18025309999999,-122.9537361,735
634,1292,23-5750,2023-04-13 22:00:00+00:00,2023-04-15 16:33:18+00:00,NEW WESTMINSTER,BC,V3M 1K7,700 Block GLOUCESTER ST,THEFT OF TRUCK UNDER $5000,Theft of Vehicle,THEFT OF TRUCK UNDER $5000,49.2052194,-122.9137372,736
633,1291,23-5759,2023-04-13 22:30:00+00:00,2023-04-15 16:33:18+00:00,NEW WESTMINSTER,BC,V3L,COBURG ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2100667,-122.9014434,737
637,1295,23-5721,2023-04-13 22:41:00+00:00,2023-04-15 16:33:18+00:00,NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2124082,-122.921433,738
636,1294,23-5742,2023-04-14 07:46:00+00:00,2023-04-15 16:33:18+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2250787,-122.8929076,739
640,1298,23-5755,2023-04-14 16:07:00+00:00,2023-04-15 16:33:18+00:00,NEW WESTMINSTER,BC,.,CHURCH ST & COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.203895,-122.906557,740
618,1276,23-5760,2023-04-14 17:34:00+00:00,2023-04-19 17:00:14+00:00,NEW WESTMINSTER,BC,V3L 1B2,999900 Block UNKNOWN,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2057179,-122.910956,741
632,1290,23-5767,2023-04-14 18:44:00+00:00,2023-04-16 16:13:47+00:00,NEW WESTMINSTER,BC,V3M 1E9,200 Block CARNARVON ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2030916,-122.9104439,742
639,1297,23-5768,2023-04-14 18:46:00+00:00,2023-04-15 16:33:18+00:00,NEW WESTMINSTER,BC,V3L 1E7,300 Block AGNES ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2071006,-122.9052015,743
630,1288,23-5794,2023-04-15 01:31:00+00:00,2023-04-16 16:13:47+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,744
631,1289,23-5805,2023-04-15 03:48:00+00:00,2023-04-16 16:13:47+00:00,NEW WESTMINSTER,BC,V3M 3G7,1 Block ST & 9TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2201062,-122.9218019,745
625,1283,23-5877,2023-04-15 21:00:00+00:00,2023-04-18 16:07:19+00:00,NEW WESTMINSTER,BC,V3M 2X5,1900 Block EDINBURGH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2044627,-122.9471174,746
627,1285,23-5845,2023-04-16 05:03:00+00:00,2023-04-17 16:27:49+00:00,NEW WESTMINSTER,BC,V3M,300 Block 11TH ST,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH,49.2040923,-122.924244,747
576,1234,23-5912,2023-04-16 09:35:00+00:00,2023-04-25 16:06:43+00:00,NEW WESTMINSTER,BC,V3M 2B8,1000 Block 6TH AVE,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.20939560000001,-122.9268794,748
628,1286,23-5853,2023-04-16 10:03:00+00:00,2023-04-17 16:27:49+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2250787,-122.8929076,749
624,1282,23-5881,2023-04-17 04:34:00+00:00,2023-04-18 16:07:19+00:00,NEW WESTMINSTER,BC,V3M 1W1,900 Block ST ANDREWS ST,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.2077877,-122.9230448,750
620,1278,23-5977,2023-04-17 05:14:00+00:00,2023-04-19 17:00:14+00:00,NEW WESTMINSTER,BC,V3L,100 Block GRANVILLE ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2109108,-122.902456,751
626,1284,23-5902,2023-04-17 16:12:00+00:00,2023-04-18 16:07:19+00:00,NEW WESTMINSTER,BC,V3M 2R2,600 Block 8TH AVE,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2155444,-122.924083,752
585,1243,23-5906,2023-04-17 16:51:00+00:00,2023-04-25 16:06:43+00:00,NEW WESTMINSTER,BC,V3M 3M9,400 Block ASH ST,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.20887580000001,-122.9197727,753
614,1272,23-5959,2023-04-17 19:00:00+00:00,2023-04-20 16:42:31+00:00,NEW WESTMINSTER,BC,V3M 5B1,200 Block FURNESS ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.1925679,-122.9254706,754
623,1281,23-5924,2023-04-17 20:28:00+00:00,2023-04-18 16:07:20+00:00,NEW WESTMINSTER,BC,V3L,400 Block FISHER ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2224103,-122.9030087,755
619,1277,23-5936,2023-04-17 22:21:00+00:00,2023-04-19 17:00:14+00:00,NEW WESTMINSTER,BC,V3L 5R3,200 Block FRANCIS WAY,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.214558,-122.8975625,756
617,1275,23-5961,2023-04-18 10:35:00+00:00,2023-04-19 17:00:14+00:00,NEW WESTMINSTER,BC,V3L 1B1,500 Block COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.203895,-122.906557,757
609,1267,23-5970,2023-04-18 15:30:00+00:00,2023-04-20 16:42:30+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,758
610,1268,23-5982,2023-04-18 18:06:00+00:00,2023-04-20 16:42:30+00:00,NEW WESTMINSTER,BC,V3L 1V3,500 Block 6TH AVE,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.21349499999999,-122.9193089,759
