,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude,crimeCommitted
623,1989,23-11827,2023-07-04 07:00:00+00:00,2023-07-20 16:55:44+00:00,NEW WESTMINSTER,BC,V3M,200 Block 11TH ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000,49.2024313,-122.9222544,1376
751,2121,23-10825,2023-07-04 16:27:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3M 5X2,900 Block BOYD ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.19055119999999,-122.9474126,1377
754,2124,23-10826,2023-07-04 16:56:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3M,RELIANCE CRT,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.1987052,-122.9185087,1378
748,2118,23-10902,2023-07-04 18:00:00+00:00,2023-07-06 16:53:42+00:00,NEW WESTMINSTER,BC,V3M,RELIANCE CRT,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.1987052,-122.9185087,1379
594,1960,23-10905,2023-07-04 18:36:00+00:00,2023-07-23 16:43:00+00:00,NEW WESTMINSTER,BC,V3M 6P3,700 Block CRANE PL,FRAUD-IDENTITY,Property Crime,FRAUD-IDENTITY,49.1900092,-122.9403551,1380
755,2125,23-10834,2023-07-04 18:59:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405,1381
752,2122,23-10840,2023-07-04 20:04:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2124082,-122.921433,1382
753,2123,23-10841,2023-07-04 20:22:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3M 6Z6,800 Block QUAYSIDE DR,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200145,-122.911488,1383
745,2115,23-10859,2023-07-04 20:30:00+00:00,2023-07-06 16:53:42+00:00,NEW WESTMINSTER,BC,V3L,OVENS AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2212085,-122.9166599,1384
757,2127,23-10846,2023-07-04 21:27:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3L 3C5,700 Block 6TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.21444630000001,-122.9224269,1385
746,2116,23-10855,2023-07-04 23:29:00+00:00,2023-07-06 16:53:42+00:00,NEW WESTMINSTER,BC,V3L 3W7,400 Block E COLUMBIA ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2277467,-122.8926041,1386
747,2117,23-10854,2023-07-04 23:30:00+00:00,2023-07-06 16:53:42+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.190715,-122.9449051,1387
744,2114,23-10857,2023-07-04 23:46:00+00:00,2023-07-06 16:53:42+00:00,NEW WESTMINSTER,BC,V3M 3E3,1800 Block LONDON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2070967,-122.9468075,1388
750,2120,23-10862,2023-07-05 02:18:00+00:00,2023-07-06 16:53:42+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2000823,-122.9174235,1389
749,2119,23-10888,2023-07-05 14:14:00+00:00,2023-07-06 16:53:42+00:00,NEW WESTMINSTER,BC,V3M 3S2,600 Block 8TH ST,ARSON-PROPERTY,Other,ARSON-PROPERTY,49.2112657,-122.9254414,1390
739,2109,23-10892,2023-07-05 15:14:00+00:00,2023-07-07 16:24:47+00:00,NEW WESTMINSTER,BC,V3M 4B2,200 Block MOWAT ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2030643,-122.9209011,1391
742,2112,23-10932,2023-07-06 03:23:00+00:00,2023-07-07 16:24:47+00:00,NEW WESTMINSTER,BC,V3L 1H1,100 Block ROYAL AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2141654,-122.8978153,1392
732,2100,23-10967,2023-07-06 19:17:00+00:00,2023-07-08 16:35:01+00:00,NEW WESTMINSTER,BC,V3M,500 Block FRONT ST,ROBBERY-OTHER,Robbery,ROBBERY-OTHER,49.20084749999999,-122.9111911,1393
740,2110,23-10972,2023-07-06 20:23:00+00:00,2023-07-07 16:24:47+00:00,NEW WESTMINSTER,BC,V3L 3C5,700 Block 6TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.21444630000001,-122.9224269,1394
738,2108,23-10979,2023-07-06 21:30:00+00:00,2023-07-08 16:35:01+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2000823,-122.9174235,1395
735,2105,23-10997,2023-07-07 00:26:00+00:00,2023-07-08 16:35:01+00:00,NEW WESTMINSTER,BC,V3M,1000 Block TANAKA CRT,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH,49.1870082,-122.9514463,1396
737,2107,23-11008,2023-07-07 02:04:00+00:00,2023-07-08 16:35:01+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,1397
730,2098,23-11082,2023-07-07 03:35:00+00:00,2023-07-09 16:31:53+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT MOTORCYCLE UNDER $5000,Theft of Vehicle,THEFT MOTORCYCLE UNDER $5000,49.200803,-122.9134438,1398
734,2103,23-11017,2023-07-07 04:46:00+00:00,2023-07-08 16:35:01+00:00,NEW WESTMINSTER,BC,V3M 6H1,1100 Block QUAYSIDE DR,ROBBERY W/OTHER OFFENSIVE WPN,Robbery,ROBBERY W/OTHER OFFENSIVE WPN,49.20055,-122.924757,1399
731,2099,23-11080,2023-07-07 05:40:00+00:00,2023-07-09 16:31:53+00:00,NEW WESTMINSTER,BC,V3M 5B1,400 Block SALTER ST,THEFT OF TRUCK OVER $5000,Theft of Vehicle,THEFT OF TRUCK OVER $5000,49.1887128,-122.9321594,1400
733,2101,23-11028,2023-07-07 09:33:00+00:00,2023-07-08 16:35:01+00:00,NEW WESTMINSTER,BC,V3M 2L9,2200 Block 7TH AVE,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.19915109999999,-122.9512809,1401
736,2106,23-11030,2023-07-07 11:43:00+00:00,2023-07-08 16:35:01+00:00,NEW WESTMINSTER,BC,V3M 1A5,600 Block COLUMBIA ST,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.20286,-122.90772,1402
726,2094,23-11034,2023-07-07 15:18:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.200803,-122.9134438,1403
727,2095,23-11053,2023-07-07 20:15:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2057179,-122.910956,1404
719,2087,23-11054,2023-07-07 20:30:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,1405
728,2096,23-11055,2023-07-07 20:44:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3L 1R2,100 Block 5TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.21593559999999,-122.9103882,1406
710,2078,23-11113,2023-07-07 22:00:00+00:00,2023-07-10 16:41:09+00:00,NEW WESTMINSTER,BC,V3M 5B5,500 Block EWEN AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.1908002,-122.9339686,1407
717,2085,23-11119,2023-07-07 22:00:00+00:00,2023-07-10 16:40:45+00:00,NEW WESTMINSTER,BC,V3L 5C2,100 Block E 6TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2215699,-122.9047767,1408
720,2088,23-11064,2023-07-07 22:59:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2000823,-122.9174235,1409
716,2084,23-11122,2023-07-08 00:00:00+00:00,2023-07-10 16:40:45+00:00,NEW WESTMINSTER,BC,V3M 6G2,1000 Block QUAYSIDE DR,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.19977249999999,-122.9135973,1410
721,2089,23-11070,2023-07-08 00:44:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405,1411
636,2002,23-80226,2023-07-08 03:15:00+00:00,2023-07-18 16:30:36+00:00,NEW WESTMINSTER,BC,V3M 6X3,300 Block GIFFORD ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.18351310000001,-122.9513715,1412
725,2093,23-11084,2023-07-08 03:54:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3L,KEARY ST & SPRUCE ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2255781,-122.8940035,1413
724,2092,23-11087,2023-07-08 05:52:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3L 0G7,200 Block NELSONS CRES,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2233599,-122.8921996,1414
729,2097,23-11106,2023-07-08 08:30:00+00:00,2023-07-09 16:32:26+00:00,NEW WESTMINSTER,BC,V3M 1L8,200 Block 8TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2053062,-122.9171557,1415
718,2086,23-11100,2023-07-08 13:05:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,.,BRAID ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2315783,-122.8862979,1416
723,2091,23-11101,2023-07-08 13:32:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3M 3K3,700 Block QUEENS AVE,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2059242,-122.9140546,1417
667,2033,23-11422,2023-07-08 15:00:00+00:00,2023-07-14 16:41:40+00:00,NEW WESTMINSTER,BC,V3M 4G2,500 Block 11TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2069803,-122.9274512,1418
722,2090,23-11104,2023-07-08 16:57:00+00:00,2023-07-09 16:32:05+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,1419
711,2079,23-11108,2023-07-08 18:38:00+00:00,2023-07-10 16:41:09+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2000823,-122.9174235,1420
589,1955,23-12064,2023-07-08 19:00:00+00:00,2023-07-24 16:28:37+00:00,NEW WESTMINSTER,BC,V3M 2J9,700 Block 13TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2084682,-122.9341777,1421
708,2076,23-11109,2023-07-08 19:08:00+00:00,2023-07-10 16:41:09+00:00,NEW WESTMINSTER,BC,.,BRAID ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2315783,-122.8862979,1422
709,2077,23-11112,2023-07-08 20:30:00+00:00,2023-07-10 16:41:09+00:00,NEW WESTMINSTER,BC,V3L 1B8,200 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.205212,-122.903582,1423
715,2083,23-11142,2023-07-08 23:30:00+00:00,2023-07-10 16:40:45+00:00,NEW WESTMINSTER,BC,V3M,100 Block EWEN AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.1942645,-122.9275124,1424
714,2082,23-11125,2023-07-09 00:02:00+00:00,2023-07-10 16:41:09+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2225852,-122.914627,1425
713,2081,23-11131,2023-07-09 02:55:00+00:00,2023-07-10 16:41:09+00:00,NEW WESTMINSTER,BC,V3M 2Y2,2200 Block EDINBURGH ST,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.2013039,-122.9528827,1426
712,2080,23-11168,2023-07-09 19:52:00+00:00,2023-07-10 16:41:09+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2000823,-122.9174235,1427
684,2051,23-11170,2023-07-09 20:45:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3L 1P5,400 Block 1ST ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2157997,-122.9100093,1428
704,2071,23-11190,2023-07-10 03:49:00+00:00,2023-07-11 16:31:55+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405,1429
706,2074,23-11192,2023-07-10 04:10:00+00:00,2023-07-11 16:31:55+00:00,NEW WESTMINSTER,BC,.,300 Block & 6TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2151265,-122.9163394,1430
707,2075,23-11194,2023-07-10 06:40:00+00:00,2023-07-11 16:31:55+00:00,NEW WESTMINSTER,BC,V3M 3S2,600 Block 8TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2112657,-122.9254414,1431
705,2073,23-11199,2023-07-10 12:04:00+00:00,2023-07-11 16:31:55+00:00,NEW WESTMINSTER,BC,V3M 3S7,800 Block 8TH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2140238,-122.927619,1432
678,2044,23-80220,2023-07-10 14:30:00+00:00,2023-07-13 16:07:45+00:00,NEW WESTMINSTER,BC,V3M 5E3,1100 Block EWEN AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.1848922,-122.949372,1433
701,2068,23-11204,2023-07-10 15:50:00+00:00,2023-07-11 16:31:55+00:00,NEW WESTMINSTER,BC,V3M,800 Block ROYAL AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.203668,-122.9145708,1434
700,2067,23-11207,2023-07-10 16:16:00+00:00,2023-07-11 16:31:56+00:00,NEW WESTMINSTER,BC,V3M 6X4,2000 Block MARINE WAY,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.19941230000001,-122.9487691,1435
699,2066,23-11208,2023-07-10 16:44:00+00:00,2023-07-11 16:31:55+00:00,NEW WESTMINSTER,BC,V3M,BEGBIE ST,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.2019513,-122.9105963,1436
703,2070,23-11209,2023-07-10 17:06:00+00:00,2023-07-11 16:31:55+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2225852,-122.914627,1437
702,2069,23-11214,2023-07-10 18:43:00+00:00,2023-07-11 16:31:55+00:00,NEW WESTMINSTER,BC,V3L 4J9,200 Block E 8TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.22575250000001,-122.9052299,1438
685,2052,23-11218,2023-07-10 19:23:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M 3R9,500 Block 8TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2098328,-122.9228187,1439
686,2053,23-11222,2023-07-10 20:23:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M 5V2,800 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2007994,-122.9117043,1440
696,2063,23-11265,2023-07-10 20:30:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000,49.2057179,-122.910956,1441
691,2058,23-11230,2023-07-10 22:34:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M 2X8,2100 Block EDINBURGH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2021963,-122.950942,1442
697,2064,23-11245,2023-07-11 01:15:00+00:00,2023-07-12 16:55:12+00:00,NEW WESTMINSTER,BC,V3L 2W6,800 Block 4TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2174002,-122.9213658,1443
692,2059,23-11246,2023-07-11 02:01:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3L 3C5,700 Block 6TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.21444630000001,-122.9224269,1444
687,2054,23-11249,2023-07-11 03:35:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,1445
698,2065,23-11250,2023-07-11 04:09:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M 2Y2,2200 Block EDINBURGH ST,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.2013039,-122.9528827,1446
681,2048,23-11251,2023-07-11 04:11:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,1447
690,2057,23-11253,2023-07-11 06:01:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,1448
628,1994,23-11706,2023-07-11 07:00:00+00:00,2023-07-19 16:58:00+00:00,NEW WESTMINSTER,BC,V3M,100 Block 10TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2021367,-122.917753,1449
670,2036,23-11397,2023-07-11 07:00:00+00:00,2023-07-14 16:41:40+00:00,NEW WESTMINSTER,BC,V3M 3V6,300 Block 9TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2058186,-122.9204308,1450
646,2012,23-11524,2023-07-11 07:00:00+00:00,2023-07-16 16:57:44+00:00,NEW WESTMINSTER,BC,V3M 2T8,2100 Block 8TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2016316,-122.9501466,1451
693,2060,23-11260,2023-07-11 14:10:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2000823,-122.9174235,1452
682,2049,23-11270,2023-07-11 17:27:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,1453
688,2055,23-11271,2023-07-11 18:02:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M,700 Block BOYD ST,ARSON-PROPERTY,Other,ARSON-PROPERTY,49.1923188,-122.9430768,1454
695,2062,23-11278,2023-07-11 19:50:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M,600 Block FRONT ST,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000,49.2008592,-122.9111421,1455
689,2056,23-11280,2023-07-11 20:07:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.190715,-122.9449051,1456
694,2061,23-11281,2023-07-11 20:28:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,1457
683,2050,23-11283,2023-07-11 20:47:00+00:00,2023-07-12 16:55:11+00:00,NEW WESTMINSTER,BC,V3L 3C6,1 Block ST & 7TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2196121,-122.9130444,1458
680,2046,23-11295,2023-07-11 21:30:00+00:00,2023-07-13 16:07:46+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405,1459
677,2043,23-11303,2023-07-12 02:27:00+00:00,2023-07-13 16:07:45+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,1460
662,2028,23-11313,2023-07-12 04:16:00+00:00,2023-07-14 16:41:40+00:00,NEW WESTMINSTER,BC,V3M 5G5,600 Block BOYD ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.19325329999999,-122.9404473,1461
676,2042,23-11330,2023-07-12 10:28:00+00:00,2023-07-13 16:07:46+00:00,NEW WESTMINSTER,BC,V3L,200 Block 1ST ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2114997,-122.9044898,1462
675,2041,23-11353,2023-07-12 15:00:00+00:00,2023-07-13 16:07:45+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2250787,-122.8929076,1463
679,2045,23-11342,2023-07-12 17:13:00+00:00,2023-07-13 16:07:46+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438,1464
665,2031,23-11372,2023-07-12 19:00:00+00:00,2023-07-14 16:41:40+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2250787,-122.8929076,1465
673,2039,23-11348,2023-07-12 19:08:00+00:00,2023-07-13 16:07:45+00:00,NEW WESTMINSTER,BC,.,BRAID ST,THEFT OTHER VEHICLE OVER $5000,Theft of Vehicle,THEFT OTHER VEHICLE OVER $5000,49.2315783,-122.8862979,1466
